id,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,tahun,jumlah_kasus_meninggal,jenis_kelamin_encoded,mortality_rate,case_fatality_rate
368,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,88,2020,1,1,0.011363636363636364,1.1363636363636365
369,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,936,2020,1,0,0.0010683760683760685,0.10683760683760685
370,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,710,2020,0,1,0.0,0.0
371,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,670,2020,1,0,0.0014925373134328358,0.1492537313432836
372,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,606,2020,2,1,0.0033003300330033004,0.33003300330033003
373,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,211,2020,1,0,0.004739336492890996,0.47393364928909953
374,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,222,2020,3,1,0.013513513513513514,1.3513513513513513
375,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,691,2020,8,0,0.011577424023154847,1.1577424023154848
376,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,718,2020,12,1,0.016713091922005572,1.6713091922005572
377,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,69,2020,2,0,0.028985507246376812,2.898550724637681
378,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,77,2020,1,1,0.012987012987012988,1.2987012987012987
379,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1121,2021,10,0,0.008920606601248885,0.8920606601248885
380,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1099,2021,12,1,0.01091901728844404,1.0919017288444042
381,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,139,2021,0,0,0.0,0.0
382,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,142,2021,1,1,0.007042253521126761,0.7042253521126761
383,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,245,2021,2,0,0.00816326530612245,0.8163265306122449
384,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,191,2021,2,1,0.010471204188481676,1.0471204188481675
385,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,990,2021,12,0,0.012121212121212121,1.2121212121212122
386,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1012,2021,12,1,0.011857707509881422,1.185770750988142
387,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,509,2021,8,0,0.015717092337917484,1.5717092337917484
388,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,502,2021,5,1,0.0099601593625498,0.9960159362549801
389,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,14,2021,0,0,0.0,0.0
390,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,34,2021,0,1,0.0,0.0
391,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,236,2021,1,0,0.00423728813559322,0.423728813559322
392,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,230,2021,3,1,0.013043478260869565,1.3043478260869565
393,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,257,2021,1,0,0.0038910505836575876,0.38910505836575876
394,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,287,2021,3,1,0.010452961672473868,1.0452961672473868
395,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,408,2021,3,0,0.007352941176470588,0.7352941176470588
396,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,412,2021,7,1,0.01699029126213592,1.6990291262135921
397,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,411,2021,3,0,0.0072992700729927005,0.7299270072992701
398,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,371,2021,2,1,0.005390835579514825,0.5390835579514826
399,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,619,2021,10,0,0.01615508885298869,1.615508885298869
400,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,712,2021,5,1,0.007022471910112359,0.7022471910112359
401,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,111,2021,1,0,0.009009009009009009,0.9009009009009009
402,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,83,2021,3,1,0.03614457831325301,3.614457831325301
403,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,155,2021,2,0,0.012903225806451613,1.2903225806451613
404,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,132,2021,5,1,0.03787878787878788,3.787878787878788
405,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,130,2021,0,0,0.0,0.0
406,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,90,2021,0,1,0.0,0.0
407,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,533,2021,4,0,0.0075046904315197,0.7504690431519699
408,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,396,2021,5,1,0.012626262626262626,1.2626262626262625
409,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,197,2021,3,0,0.015228426395939087,1.5228426395939088
410,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,173,2021,4,1,0.023121387283236993,2.312138728323699
411,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,150,2021,1,0,0.006666666666666667,0.6666666666666667
412,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,159,2021,1,1,0.006289308176100629,0.628930817610063
413,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,40,2021,1,0,0.025,2.5
414,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,40,2021,0,1,0.0,0.0
415,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,264,2021,3,0,0.011363636363636364,1.1363636363636365
416,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,262,2021,4,1,0.015267175572519083,1.5267175572519083
417,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,249,2021,2,0,0.008032128514056224,0.8032128514056224
418,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,201,2021,1,1,0.004975124378109453,0.4975124378109453
419,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,1951,2021,3,0,0.0015376729882111738,0.1537672988211174
420,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,1792,2021,10,1,0.005580357142857143,0.5580357142857143
421,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,51,2021,0,0,0.0,0.0
422,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,53,2021,0,1,0.0,0.0
423,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1031,2021,4,0,0.0038797284190106693,0.38797284190106696
424,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,975,2021,7,1,0.0071794871794871795,0.717948717948718
425,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,1707,2021,0,0,0.0,0.0
426,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,1448,2021,1,1,0.0006906077348066298,0.06906077348066297
427,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,346,2021,7,0,0.02023121387283237,2.023121387283237
428,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,352,2021,15,1,0.04261363636363636,4.261363636363636
429,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,449,2021,10,0,0.022271714922048998,2.2271714922048997
430,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,460,2021,11,1,0.02391304347826087,2.391304347826087
431,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,19,2021,1,0,0.05263157894736842,5.263157894736842
432,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,19,2021,1,1,0.05263157894736842,5.263157894736842
433,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,948,2022,6,0,0.006329113924050633,0.6329113924050633
434,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1005,2022,8,1,0.007960199004975124,0.7960199004975124
435,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,186,2022,3,0,0.016129032258064516,1.6129032258064515
436,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,197,2022,4,1,0.02030456852791878,2.030456852791878
437,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,433,2022,4,0,0.009237875288683603,0.9237875288683602
438,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,386,2022,4,1,0.010362694300518135,1.0362694300518136
439,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,2014,2022,25,0,0.012413108242303872,1.2413108242303872
440,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,2177,2022,23,1,0.010564997703261369,1.056499770326137
441,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,420,2022,5,0,0.011904761904761904,1.1904761904761905
442,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,484,2022,5,1,0.010330578512396695,1.0330578512396695
443,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,146,2022,4,0,0.0273972602739726,2.73972602739726
444,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,173,2022,3,1,0.017341040462427744,1.7341040462427744
445,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,337,2022,3,0,0.008902077151335312,0.8902077151335311
